,0 beds,1 bath,1 bed,1 bedroom,1 guest,1 private bath,1 shared bath,1.5 baths,1.5 private baths,1.5 shared baths,12 guests,2 baths,2 bedrooms,2 beds,2 guests,2 private baths,2 shared baths,2.5 shared baths,3 bedrooms,3 beds,3 guests,3 shared baths,4 beds,4 guests,5 beds,5 guests,6 beds,6 guests,8 guests,Boat,Camper/RV,Private room in apartment,Shared half-bath,Studio,free_cancel,id,lat,long,plus,price,ratings,rental_price_norm,reviews,superhost,entire_place,private_room,no_baths,shared_room
79,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3082327,37.7567656,-122.4889142,0,85,5.0,1.121772356,330,1,0,1,0,0
80,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16204265,37.7599,-122.4148,1,135,5.0,1.047322361,211,1,0,1,0,0
81,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18587279,37.735665999999995,-122.3871207,0,92,5.0,1.151611442,122,1,1,0,0,0
82,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7265348,37.832357,-122.2795435,0,79,5.0,1.054708273,207,1,1,0,0,0
83,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1206233,37.770275500000004,-122.44757320000001,0,79,4.0,0.9430332790000001,303,0,0,0,0,0
84,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6872214,37.731597799999996,-122.3731758,0,89,4.5,1.151611442,212,0,0,1,0,0
85,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1673795,37.808,-122.288,0,59,5.0,1.054708273,458,1,0,1,0,0
86,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2538807,37.7429945,-122.4666352,0,74,5.0,0.983212642,182,1,1,0,0,0
87,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12230957,37.849886,-122.28027959999999,0,98,5.0,1.054708273,168,1,1,0,0,0
88,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3311711,37.7687898,-122.417432,0,105,5.0,1.145998149,309,1,0,0,0,0
89,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22586319,37.713973100000004,-122.4082638,0,75,4.5,0.983212642,84,0,1,0,0,0
90,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14205598,37.7210033,-122.4102371,0,84,5.0,0.983212642,190,0,0,1,0,0
91,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17976212,37.7024996,-122.4920611,0,139,5.0,0.922057288,191,1,1,0,0,0
92,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3549398,37.7564352,-122.4408039,0,57,5.0,1.083661049,322,1,0,0,0,0
93,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70753,37.794000000000004,-122.404,0,45,4.5,1.024869187,322,0,0,0,0,1
94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1738415,37.7735805,-122.42806370000001,0,136,5.0,0.8233815000000001,375,1,1,0,0,0
95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229240,37.794000000000004,-122.404,0,45,4.5,1.024869187,299,0,0,0,0,1
96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4365969,37.7335518,-122.4309991,0,101,5.0,0.983212642,274,1,1,0,0,0
97,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4378325,37.818597100000005,-122.26817179999999,0,85,4.5,1.054708273,231,0,1,0,0,0
98,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5013816,37.7891013,-122.43459740000002,0,129,5.0,0.8712422120000001,422,1,0,1,0,0
99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14487347,37.7858852,-122.40951709999999,0,89,4.5,0.829585667,80,0,0,1,0,0
100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,719431,37.7402797,-122.46884990000001,0,89,5.0,0.922057288,248,1,1,0,0,0
101,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277350,37.6871816,-122.49524869999999,0,59,4.5,0.922057288,268,0,0,1,0,0
102,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1148625,37.7673865,-122.4446685,0,85,5.0,0.9430332790000001,251,1,0,1,0,0
103,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,593253,37.770230700000006,-122.42956969999999,0,95,5.0,0.8233815000000001,278,1,0,1,0,0
104,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14688313,37.7575773,-122.4295638,0,99,4.5,1.0552991459999999,115,0,0,1,0,0
105,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7478631,37.7621054,-122.4520166,0,125,5.0,1.001234268,263,1,1,0,0,0
106,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1326577,37.719685600000005,-122.45162549999999,0,125,5.0,1.0100973629999999,217,1,1,0,0,0
107,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4274766,37.885296000000004,-122.530272,0,140,4.5,1.172587433,232,0,1,0,0,0
108,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9752333,37.7438276,-122.4320502,0,135,5.0,0.983212642,283,1,1,0,0,0
109,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9051149,37.7691993,-122.4353061,0,109,5.0,0.9430332790000001,379,1,0,0,0,0
110,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10385321,37.725831899999996,-122.43041840000001,0,100,5.0,0.983212642,192,1,1,0,0,0
111,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12026845,37.7449468,-122.4299192,0,90,5.0,0.922057288,175,1,0,1,1,0
112,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4387067,37.789806899999995,-122.43411189999999,0,129,5.0,0.8712422120000001,434,1,0,1,0,0
113,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,3439203,37.778991299999994,-122.24270179999999,0,99,5.0,1.054708273,498,1,0,0,0,0
114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5548977,37.7809339,-122.49425120000001,0,140,5.0,1.172587433,287,1,1,0,0,0
115,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,678556,37.7743132,-122.4523622,0,135,5.0,1.121772356,329,1,1,0,0,0
